idx,zh,en,mutated
0,新法律自 1 月 1 日起生效，要求警察只有在应对对警察或周围人员的致命威胁的“必要时刻”，才能使用致命武力。,"The new law, which takes effect Jan. 1, will allow police to use deadly force only when ""necessary"" to defend against an imminent threat of death or serious injury to officers or bystanders.","The new law, which takes effect Jan. 1, will allow police to use deadly force only when ""necessary"" to defend against an imminent threat of officers or bystanders causing death or serious injury."
1,这名男子被严重烧伤，目前在医院，情况危急但稳定。,He is in hospital in a critical but stable condition after suffering serious burns.,"After suffering serious burns, he is in hospital in a critical but stable condition."
2,这些信是邮寄给她患有自闭症住在私人护理院的儿子的，她解释说。但拆开信件，信里未提及她儿子的名字，而是说“尊敬的缅因州卫生与公众服务部——辛辛那提”，她告诉当地媒体。,"They were addressed to her son, who has autism and lives in a private care facility, she said. But instead of her son's name inside when you opened them, the letters said Dear Maine's Department of Health and Human Services -- in Cincinnati, she told local media.","They were addressed to her son, who lives in a private care facility and has autism, she said. But instead of her son's name inside when you opened them, the letters said Dear Maine's Department of Health and Human Services -- in Cincinnati, she told local media."
3,联邦调查人员检查了相关证据，包括目击证人证言、现场视频与录音、出警记录、警察报告和尸检报告，用于判断当事警察是否故意使用超过客观合理限度的武力。,"The federal investigation looked at evidence such as witness statements, audio and video recordings, dispatch records, police reports, and autopsy reports to determine whether the officers acted willfully with the intent to use objectively unreasonable force.","The federal investigation looked at evidence such as witness statements, audio and video recordings, dispatch records, police reports, and autopsy reports to determine whether the officers acted willfully with the intent to use unobjectively reasonable force."
4,通常原油出口前要进行检验，保证其符合接收该原油的炼油厂的标准。不同油田出产的原油可以根据一系列化学成分加以识别，包括硫含量、氮含量、酸度以及粘度。,"Crude oil is tested before export to make sure it complies with the standards of the refinery it is being shipped to. Crude oil from different fields can be identified according to a series of chemical signatures, including levels of sulfur and nitrogen, acidity and viscosity.","Crude oil is tested before export to make sure it complies with the standards of the refinery it is being shipped to. According to a series of chemical signatures, including levels of sulfur and nitrogen, acidity and viscosity, crude oil from different fields can be identified."
5,"“红矮星释放的能量更少，因此辐射出的光芒也十分微弱，它们的表面温度也很低，大约在 3,800（度）开尔文（6,380 华氏度/3,527 摄氏度）以下。这也解释了红矮星为什么是微红色的，”莫拉莱斯说道。","They emit less energy, so they are fainter than the sun, and their surface temperature is rather cool, below 3800 (degrees) Kelvin (6,380 degrees Fahrenheit/3,527 Celsius) approximately. This is why the have a reddish color, Morales said.","They emit less energy, so they are fainter than the sun, and their surface temperature is rather cool, below 3800 (degrees) Kelvin (6,380 degrees Fahrenheit/3,527 Celsius) approximately. This is why they have a bluish color, Morales said."
6,今年，现役军人中的自杀率飙升至历史新高，这种形势的延续非常致命，五角大楼官员表示，情况令人沮丧，目前正在积极应对。,"Military suicides surged this year to a record high among active duty troops, continuing a deadly trend that Pentagon officials say is frustrating and they are struggling to counter.","Pentagon officials say that military suicides surged this year to a record high among active duty troops, continuing a deadly trend that is frustrating and they are struggling to counter."
7,他补充说：“这支部队没有一贯公平和尊重员工，也没有有效地与员工沟通或理解员工；流程被认为不公平，而且对员工的理解不足，无法支持员工。”,"He added: ""It doesn't consistently treat its workforce with fairness and respect and it doesn't effectively communicate with or engage its workforce; its processes aren't perceived to be fair and it doesn't understand its workforce well enough to support them.""","He added: ""It doesn't understand its workforce well enough to support them and it doesn't consistently treat its workforce with fairness and respect and it doesn't effectively communicate with or engage its workforce; its processes aren't perceived to be fair."""
8,电台主持人赛斯·丹拉普曾说过，他在一个恐同且充满敌意的环境中工作多年。在声称收到电台推特账户发来的反同诽谤推文后，他威胁要起诉。,"Radio host Seth Dunlap claimed he worked in a homophobic and hostile workplace for years. After allegedly receiving a tweet with an anti-gay slur from the radio station's Twitter, he threatened to sue.","After allegedly threatening to sue, Radio host Seth Dunlap claimed he worked in a homophobic and hostile workplace for years, following a tweet with an anti-gay slur from the radio station's Twitter."
9,苏格兰民族党已表示可能会支持杰里米·科尔宾出任英国首相府的临时首相，以阻挠无协议脱欧。,The SNP has signalled it could support installing Jeremy Corbyn in Downing Street on a temporary basis to thwart a no-deal Brexit.,The SNP has signalled it could support installing a no-deal Brexit in order to thwart Jeremy Corbyn in Downing Street on a temporary basis.
10,鲁昂一家润滑油厂在星期四失火，未有人员受伤，但附近塞纳河两岸的居民对潜在的健康风险和后果表示了担忧。,"No one was injured in Thursday's fire at a lubricant plant in Rouen, but residents have expressed concern about possible health risks and consequences for the nearby Seine River.","No one was injured in Thursday's fire at a lubricant plant in Rouen, and residents have expressed concern about possible health risks and consequences for the nearby Seine River, but there were no consequences for the nearby Seine River."
11,备受低油价影响，政府表示，希望到 2030 年，旅游业对国内生产总值的贡献率能达到 10% ，而目前只有 3% 。,"The government, reeling from low oil prices, says it hopes tourism will contribute up to 10 percent of the gross domestic product by 2030, compared to three percent currently.","The government, says it hopes tourism will contribute up to 10 percent of the gross domestic product by 2030, reeling from low oil prices, compared to three percent currently."
12,香港警方称抗议活动中学生被捕人数增加,Hong Kong police say student arrests at protests increase,Hong Kong protests increase student arrests say police.
13,沃尔特被指控是另一名男子卡梅伦·佩蒂特的药品来源，该男子曾把药物卖给米勒。,"Walter is accused of being the source of the pills that another man, Cameron Pettit, sold to Miller.","Miller is accused of being the source of the pills that another man, Cameron Pettit, sold to Walter."
14,在目前的宇宙中，星系团可以包含数百个星系，但这些星系团是如何形成的在天文领域仍是一大疑问。为了了解星系团的形成，天文学家寻找古代宇宙中可能的起源。原星系团是早期宇宙中由数十个星系组成的稠密系统，并逐渐形成一个星系团。,"In the present Universe, galaxy clusters can contain hundreds of members, but how these clusters form is a big question in astronomy. To understand the formation of clusters, astronomers search for possible progenitors in the ancient Universe. A protocluster is a dense system of dozens of galaxies in the early Universe, growing into a cluster.","A cluster is growing into a protocluster, which is a dense system of dozens of galaxies in the early Universe, to understand the formation of clusters."
15,只要德·格罗德继续服药，再犯罪的风险就不会很大，那么人们为什么这么担心呢？我认为，人们对精神病患者，特别是精神分裂症患者的污名，很大程度上导致了这种恐惧。某些精神疾病已经变得不那么可怕了，比如情绪和焦虑障碍。但其他疾病，包括精神分裂症，仍然被高度污名化。这在很大程度上是因为许多人把精神分裂症患者描绘成危险人物，他们的脑袋里有声音告诉他们要杀人。,"As long as de Grood continues to take his medication, there isn't a huge risk of reoffense, so why are people so concerned? I believe the stigma surrounding people with mental illness, particularly those with schizophrenia, largely influences this fear. Certain mental illnesses have become less stigmatized, such as mood and anxiety disorders. But others, including schizophrenia, remain highly stigmatized. This is in large part due to numerous portrayals of schizophrenics as dangerous people with voices in their heads telling them to kill people.","As long as de Grood doesn't continue to take his medication, there isn't a huge risk of reoffense, so why are people so concerned? I believe the stigma surrounding people with mental illness, particularly those with schizophrenia, largely influences this fear. Certain mental illnesses have become less stigmatized, such as mood and anxiety disorders. But others, including schizophrenia, remain highly stigmatized. This is in large part due to numerous portrayals of schizophrenics as dangerous people with voices in their heads telling them to kill people."
16,如果发生更严重的扰动，电网也会发生波动。提供导航信息的卫星信号也会很弱。,"In case of more severe disturbances, there are also fluctuations in the electricity grid. Satellites providing navigation information are also vulnerable.","In case of more severe disturbances, there are also fluctuations in the electricity grid. Satellites providing navigation information are not vulnerable."
17,"养老保护基金的一位发言人表示：""一些破产事件的发生，比如托马斯·库克的破产，正是养老保护基金成立的原因。","A PPF spokesperson said: ""Insolvency events, like the liquidation of Thomas Cook, are exactly why the PPF was set up.","A PPF spokesperson said: ""The PPF was set up because of insolvency events, like the liquidation of Thomas Cook."""
18,五角大楼星期四宣布，由于本月初沙特石油设施遭到袭击，美国计划向沙特调派一枚爱国者导弹电池、雷达系统和大约 200 名支持人员。,"The Pentagon on Thursday announced that the U.S. will send a Patriot missile battery, radars and roughly 200 support personnel to Saudi Arabia in the wake of the attacks on its oil facilities earlier this month.","The Pentagon on Thursday announced that the U.S. will send a Patriot missile battery, radars and roughly 200 support personnel to Saudi Arabia earlier this month in the wake of the attacks on its oil facilities in the wake of the attacks on its oil facilities."
19,这些信都是有关联合健康保险投保范围外 54 或 0 美元的索赔，雷女士说。,"The letters were about a $54 or $0 healthcare claim that United Healthcare said is not covered, Lay said.",The letters were about a $54 or $0 healthcare claim that Lay said United Healthcare said is not covered.
