idx,zh,en,mutated
0,新法律自 1 月 1 日起生效，要求警察只有在应对对警察或周围人员的致命威胁的“必要时刻”，才能使用致命武力。,"The new law, which takes effect Jan. 1, will allow police to use deadly force only when ""necessary"" to defend against an imminent threat of death or serious injury to officers or bystanders.","The new law, which takes effect Jan. 1, will allow police to use killing force only when ""essential"" to protect against an impending menace of demise or grave harm to officers or bystanders."
1,这名男子被严重烧伤，目前在医院，情况危急但稳定。,He is in hospital in a critical but stable condition after suffering serious burns.,He is in hospitality in a critical but stable condition after suffering serious burns.
2,这些信是邮寄给她患有自闭症住在私人护理院的儿子的，她解释说。但拆开信件，信里未提及她儿子的名字，而是说“尊敬的缅因州卫生与公众服务部——辛辛那提”，她告诉当地媒体。,"They were addressed to her son, who has autism and lives in a private care facility, she said. But instead of her son's name inside when you opened them, the letters said Dear Maine's Department of Health and Human Services -- in Cincinnati, she told local media.","They were dressed in her son, who has autism and lives in a private care facility, she said. But instead of her son's name inside when you opened them, the letters dressed Dear Maine's Department of Health and Human Services -- in Cincinnati, she told local media."
3,联邦调查人员检查了相关证据，包括目击证人证言、现场视频与录音、出警记录、警察报告和尸检报告，用于判断当事警察是否故意使用超过客观合理限度的武力。,"The federal investigation looked at evidence such as witness statements, audio and video recordings, dispatch records, police reports, and autopsy reports to determine whether the officers acted willfully with the intent to use objectively unreasonable force.","The federal investigation looked at evidence such as witness statements, audio and video recordings, dispatch records, police reports, and autopsy reports to determine whether the officers acted as if they intended to use objectively unreasonable force."
4,通常原油出口前要进行检验，保证其符合接收该原油的炼油厂的标准。不同油田出产的原油可以根据一系列化学成分加以识别，包括硫含量、氮含量、酸度以及粘度。,"Crude oil is tested before export to make sure it complies with the standards of the refinery it is being shipped to. Crude oil from different fields can be identified according to a series of chemical signatures, including levels of sulfur and nitrogen, acidity and viscosity.","Crude oil is tasted before export to make sure it sings with the standards of the refinery it is being shipped to. Crude oil from different fields can be identified according to a series of chemical autographs, including levels of sulfur and nitrogen, acidity and viscosity."
5,"“红矮星释放的能量更少，因此辐射出的光芒也十分微弱，它们的表面温度也很低，大约在 3,800（度）开尔文（6,380 华氏度/3,527 摄氏度）以下。这也解释了红矮星为什么是微红色的，”莫拉莱斯说道。","They emit less energy, so they are fainter than the sun, and their surface temperature is rather cool, below 3800 (degrees) Kelvin (6,380 degrees Fahrenheit/3,527 Celsius) approximately. This is why the have a reddish color, Morales said.","They emit fewer emotions, so they are weaker than the sun, and their surface temperature is quite trendy, below 3800 (degrees) Kelvin (6,380 degrees Fahrenheit/3,527 Celsius) approximately. This is why they have a reddish color, Morales said."
6,今年，现役军人中的自杀率飙升至历史新高，这种形势的延续非常致命，五角大楼官员表示，情况令人沮丧，目前正在积极应对。,"Military suicides surged this year to a record high among active duty troops, continuing a deadly trend that Pentagon officials say is frustrating and they are struggling to counter.","Military icebergs surged this year to a record high among active duty troops, continuing a deadly trend that Pentagon officials say is frustrating and they are struggling to counter."
7,他补充说：“这支部队没有一贯公平和尊重员工，也没有有效地与员工沟通或理解员工；流程被认为不公平，而且对员工的理解不足，无法支持员工。”,"He added: ""It doesn't consistently treat its workforce with fairness and respect and it doesn't effectively communicate with or engage its workforce; its processes aren't perceived to be fair and it doesn't understand its workforce well enough to support them.""","He added: ""It doesn't continuously handle its workforce with justice and admiration and it doesn't efficiently transmit with or involve its workforce; its methods aren't considered to be just and it doesn't comprehend its workforce well enough to maintain them."""
8,电台主持人赛斯·丹拉普曾说过，他在一个恐同且充满敌意的环境中工作多年。在声称收到电台推特账户发来的反同诽谤推文后，他威胁要起诉。,"Radio host Seth Dunlap claimed he worked in a homophobic and hostile workplace for years. After allegedly receiving a tweet with an anti-gay slur from the radio station's Twitter, he threatened to sue.","Radio host Seth Dunlap claimed he danced in a flamboyant and tumultuous workplace for years. After allegedly receiving a tweet with an anti-gay slur from the radio station's Twitter, he threatened to sue."
9,苏格兰民族党已表示可能会支持杰里米·科尔宾出任英国首相府的临时首相，以阻挠无协议脱欧。,The SNP has signalled it could support installing Jeremy Corbyn in Downing Street on a temporary basis to thwart a no-deal Brexit.,The SNP has signalled it could support installing Jeremy Corbyn in Downing Street on a ephemeral basis to hinder a non-arrangement Brexit.
10,鲁昂一家润滑油厂在星期四失火，未有人员受伤，但附近塞纳河两岸的居民对潜在的健康风险和后果表示了担忧。,"No one was injured in Thursday's fire at a lubricant plant in Rouen, but residents have expressed concern about possible health risks and consequences for the nearby Seine River.","No one was annoyed in Thursday's fire at a lubricant plant in Rouen, but residents have expressed concern about possible health gifts and consequences for the nearby Seine River."
11,备受低油价影响，政府表示，希望到 2030 年，旅游业对国内生产总值的贡献率能达到 10% ，而目前只有 3% 。,"The government, reeling from low oil prices, says it hopes tourism will contribute up to 10 percent of the gross domestic product by 2030, compared to three percent currently.","The government, waltzing from low oil prices, says it hopes tourism will contribute up to 10 percent of the gross domestic product by 2030, compared to three percent presently."
12,香港警方称抗议活动中学生被捕人数增加,Hong Kong police say student arrests at protests increase,Hong Kong police say student detentions at celebrations expand
13,沃尔特被指控是另一名男子卡梅伦·佩蒂特的药品来源，该男子曾把药物卖给米勒。,"Walter is accused of being the source of the pills that another man, Cameron Pettit, sold to Miller.","Walter is accused of being the source of the songs that another man, Cameron Pettit, sold to Miller."
14,在目前的宇宙中，星系团可以包含数百个星系，但这些星系团是如何形成的在天文领域仍是一大疑问。为了了解星系团的形成，天文学家寻找古代宇宙中可能的起源。原星系团是早期宇宙中由数十个星系组成的稠密系统，并逐渐形成一个星系团。,"In the present Universe, galaxy clusters can contain hundreds of members, but how these clusters form is a big question in astronomy. To understand the formation of clusters, astronomers search for possible progenitors in the ancient Universe. A protocluster is a dense system of dozens of galaxies in the early Universe, growing into a cluster.","In the present comedy, galaxy latches can contain hundreds of members, but how these latches spring is a big question in astronomy. To understand the spring of latches, astronomers search for possible ancestors in the early comedy. A protocluster is a dense system of dozens of galaxies in the present comedy, growing into a latch."
15,只要德·格罗德继续服药，再犯罪的风险就不会很大，那么人们为什么这么担心呢？我认为，人们对精神病患者，特别是精神分裂症患者的污名，很大程度上导致了这种恐惧。某些精神疾病已经变得不那么可怕了，比如情绪和焦虑障碍。但其他疾病，包括精神分裂症，仍然被高度污名化。这在很大程度上是因为许多人把精神分裂症患者描绘成危险人物，他们的脑袋里有声音告诉他们要杀人。,"As long as de Grood continues to take his medication, there isn't a huge risk of reoffense, so why are people so concerned? I believe the stigma surrounding people with mental illness, particularly those with schizophrenia, largely influences this fear. Certain mental illnesses have become less stigmatized, such as mood and anxiety disorders. But others, including schizophrenia, remain highly stigmatized. This is in large part due to numerous portrayals of schizophrenics as dangerous people with voices in their heads telling them to kill people.","As long as de Grood continues to take his medication, there isn't a gigantic peril of reoffense, so why are people so anxious? I believe the mark surrounding people with mental illness, particularly those with schizophrenia, mainly influences this dread. Specific mental illnesses have become less disgraced, such as disposition and angst disorders. But others, including schizophrenia, remain greatly dishonored. This is in bulky part due to numerous representations of schizophrenics as risky people with sounds in their minds telling them to slay people."
16,如果发生更严重的扰动，电网也会发生波动。提供导航信息的卫星信号也会很弱。,"In case of more severe disturbances, there are also fluctuations in the electricity grid. Satellites providing navigation information are also vulnerable.","In case of more severe disturbances, there are also fluctuations in the mental grid. Rockets providing navigation information are also vulnerable."
17,"养老保护基金的一位发言人表示：""一些破产事件的发生，比如托马斯·库克的破产，正是养老保护基金成立的原因。","A PPF spokesperson said: ""Insolvency events, like the liquidation of Thomas Cook, are exactly why the PPF was set up.","A PPF spokesperson said: ""Insolvency czars, like the solidification of Thomas Cook, are exactly why the PPF was set up."
18,五角大楼星期四宣布，由于本月初沙特石油设施遭到袭击，美国计划向沙特调派一枚爱国者导弹电池、雷达系统和大约 200 名支持人员。,"The Pentagon on Thursday announced that the U.S. will send a Patriot missile battery, radars and roughly 200 support personnel to Saudi Arabia in the wake of the attacks on its oil facilities earlier this month.","The Pentagon on Thursday whispered that the U.S. will forward a Patriot individual battery, radars and roughly 200 sustenance personnel to Saudi Arabia in the wake of the attacks on its oil facilities earlier this month."
19,这些信都是有关联合健康保险投保范围外 54 或 0 美元的索赔，雷女士说。,"The letters were about a $54 or $0 healthcare claim that United Healthcare said is not covered, Lay said."," The letters were about a $54 or $0 healthcare claim that United Healthcare said is not enclosed, Lay said."
20,意大利选手法比奥·法尼尼在星期六输给美国选手坦尼斯·桑德格伦第三轮比赛后说了句“应该在网球场上引爆炸弹”，因而被罚款 3000 美元。,"Italian player Fabio Fognini was fined $3,000 for saying a ""bomb should explode"" at the tennis courts after he lost the third round to U.S. player Tennys Sandgren on Saturday.","Italian player Fabio Fognini was fined $3,000 for saying a ""musical note should explode"" at the tennis courts after he lost the third round to U.S. player Tennys Sandgren on Saturday."
21,官方消息称，根据《基本规则》第 56（J）条，负责监督商品及服务税和进口税征收的中央间接税和海关委员会因腐败和其它指控，强制要求 15 名高级官员退休。,"The Central Board of Indirect Taxes and Customs (CBIC) -- the agency that oversees GST and import tax collections -- compulsorily retired 15 senior officers under Fundamental Rule 56 (J) on corruption and other charges, official sources said.","The Central Board of Indirect Taxes and Customs (CBIC) -- the agency that oversees GST and import tax collections -- compulsorily retired 15 senior officers under Fundamental Rule 56 (J) on yoga and other charges, official sources said."
22,在 2009 年，母亲鲁比和另一只名叫南希的雌性动物加入了野生动物公园，希望与蒙蒂生下公园里的第一只小犀牛。,Mother Ruby joined the wildlife park in 2009 alongside another female called Nancy in the hope that one would produce the park's first ever calf with Monty.,Mother Ruby joined the wildlife park in 2009 alongside another female called Nancy in the hope that one would produce the park's first ever giraffe with Monty.
23,报道称，该公司正在接受西班牙高等法院的调查。,"The company is being investigated over the claims by Spain's High Court, the Audiencia Nacional, said the report.","The company is being investigated over the songs by Spain's High Court, the Audiencia Nacional, said the report."
24,“我们为养老金固定收益计划成员的未来提供金融保障，计划成员应该放心，我们是会保护他们的。”,We are here to protect the financial futures of members belonging to defined benefit pension schemes and they should take comfort knowing we are here to protect them.,We are here to protect the financial memories of members belonging to defined benefit pension schemes and they should take comfort knowing we are here to protect them.
25,碧翠斯公主的父母安德鲁王子和莎拉·弗格森也表达了他们的兴奋之情。,"Princess Beatrice's parents, Prince Andrew and Sarah Ferguson, also shared their excitement.","Princess Beatrice's parents, Prince Andrew and Sarah Ferguson, also divided their excitement."
26,经纪人呼吁大家不要相信社交网络和世界各地黄色杂志上“泄漏”的任何照片。,"The manager urged not to believe in any photos that ""leak"" on social networks and in yellow magazines around the world.","The manager urged not to believe in any photos that ""drip"" on social networks and in yellow magazines around the world."
27,美国总统唐纳德·特朗普提名彼得·盖纳出任联邦紧急事务管理署署长，白宫在一份声明中表示。,"U.S. President Donald Trump nominated Peter Gaynor on Thursday to head the Federal Emergency Management Agency (FEMA), the White House said in a statement.","U.S. President Donald Trump nominated Peter Happy on Thursday to head the Federal Emergency Relaxation Agency (FEMA), the White House said in a statement."
28,众议院主席警告特朗普停止攻击告密者,House chairmen warn Trump to stop attacking whistleblower,House cushions warn Trump to halt attacking whistleblower.
29,但是，自由民主党认为，科尔宾先生领导之下的临时政府需要获得前保守党国会议员和本党叛徒的支持，因此无法在众议院获得必要的支持。,"However the Liberal Democrats believe a temporary government led by Mr Corbyn cannot achieve the necessary support across the House, as he would need the backing of ex-Tory MPs and defectors from his own party.","However the Liberal Democrats believe a hallucination government led by Mr Corbyn cannot achieve the necessary support across the house, as he would need the backing of ex-Tory MPs and defectors from his own party."
30,托马斯·库克到底出了什么问题?,What went so wrong for Thomas Cook?,What went so wrong for Thomas cook?
31,弗吉尼亚州的一名黑人中学生指控三名白人男孩困住了她并剪断了她的辫子。该事件发生在以马内利基督学校，副总统迈克·彭斯的夫人凯伦·彭斯在该学校任教。,"A black middle school student from Virginia is accusing three white boys of pinning her down and cutting off her dreadlocks. The incident took place at Immanuel Christian School - where Vice President Mike Pence's wife, Karen Pence, is a teacher.","A black middle school student from Virginia is accusing three white boys of pinning her down and cutting off her dreads. The incident took place at Immanuel Christian School - where Vice President Mike Pence's wife, Karen Pence, is a teacher."
32,7 月 19日，因这艘船涉嫌违反国际海事法在霍尔木兹海峡进入伊朗水域，伊朗革命卫队将其扣押。,The ship was captured by the Iranian Revolutionary Guard Corps on July 19 for having violated international maritime law when it allegedly veered into Iranian waters in the Strait of Hormuz.,The ship was embraced by the Iranian Revolutionary Guard Corps on July 19 for having infringed international maritime law when it allegedly deviated into Iranian waters in the Strait of Hormuz.
33,自从 3 月布罗克·朗辞职后，该机构尚无参议院批准的负责人。管理署的上级部门 - 国土安全部认定朗违规使用公车，用于往返华盛顿和他在北卡罗来纳州的住所，随后朗辞任署长一职。,"The agency has been without a Senate-confirmed administrator since March, when Brock Long left the post. Long resigned after the Department of Homeland Security, under which FEMA falls, concluded Long had inappropriately used government vehicles to commute between Washington and his home in North Carolina.","The agency has been without a Senate-confirmed bar since March, when Brock Long left the post. Long resigned after the Department of Homeland Security, under which FEMA falls, concluded Long had inappropriately used government vehicles to migrate between Washington and his home in North Carolina."
34,克利夫兰警方在各个方面都被检查人员标签为“失败”,Cleveland police branded 'failing' in all areas by inspectors,Cleveland police branded 'failing' in all areas by inspectors
35,沙特阿拉伯首次提供旅游签证，废除阿巴亚长袍规定,"Saudi Arabia To Offer Tourist Visas For First Time, Abolish Abaya Rule","Saudi Arabia To Offer Tourist Rule For First Time, Abolish Visas Abaya"
